Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6713826463	27.8113059998	-1.0334131718
0.6714405168	27.8481712341	-1.0344743729
0.6714983835	27.8889961243	-1.0356447697
0.6715562392	27.9280109406	-1.0367585421
0.6716141184	27.9645347595	-1.0377970934
0.6716720137	27.9988174438	-1.0387682915
0.6717298575	28.0472755432	-1.0401350260
0.6717877434	28.0775012970	-1.0409840345
0.6718456085	28.1143817902	-1.0420162678
0.6719034659	28.1543922424	-1.0431315899
0.6719613307	28.1947879791	-1.0442528725
0.6720192319	28.2264862061	-1.0451294184
0.6720770722	28.2654438019	-1.0462026596
0.6721349531	28.3020229340	-1.0472064018
0.6721928097	28.3336639404	-1.0480715036
0.6722506956	28.3731441498	-1.0491468906
0.6723085625	28.4110317230	-1.0501747131
0.6723664347	28.4401741028	-1.0509624481
0.6724243156	28.4702587128	-1.0517731905
0.6724821769	28.5179481506	-1.0530530214
0.6725400454	28.5570468903	-1.0540975332
0.6725979007	28.5837249756	-1.0548077822
0.6726557847	28.6262588501	-1.0559359789
0.6727136410	28.6636276245	-1.0569230318
0.6727715227	28.6947422028	-1.0577418804
0.6728294020	28.7267093658	-1.0585803986
0.6728872665	28.7602920532	-1.0594582558
0.6729451219	28.7871150970	-1.0601571798
0.6730030043	28.8223648071	-1.0610727072
0.6730608778	28.8582515717	-1.0620012283
0.6731187488	28.8875389099	-1.0627564192
0.6731766008	28.9150772095	-1.0634644032
0.6732344914	28.9517364502	-1.0644036531
0.6732923632	28.9787330627	-1.0650930405
0.6733502118	29.0145740509	-1.0660052299
0.6734080815	29.0461254120	-1.0668053627
0.6734659638	29.0733509064	-1.0674936771
0.6735238309	29.1012706757	-1.0681974888
0.6735817112	29.1386623383	-1.0691368580
0.6736396024	29.1660652161	-1.0698229074
0.6736974461	29.1986751556	-1.0706367493
0.6737553126	29.2259063721	-1.0713142157
0.6738131816	29.2576293945	-1.0721009970
0.6738710528	29.2876052856	-1.0728420019
0.6739289335	29.3233509064	-1.0737226009
0.6739867814	29.3560009003	-1.0745240450
0.6740446519	29.3945312500	-1.0754662752
0.6741025353	29.4211711884	-1.0761154890
0.6741604359	29.4559898376	-1.0769612789
0.6742182770	29.4941749573	-1.0778852701
0.6742761437	29.5245189667	-1.0786168575
0.6743340147	29.5542488098	-1.0793313980
0.6743918817	29.5903587341	-1.0801962614
0.6744497641	29.6238842010	-1.0809962749
0.6745076122	29.6538677216	-1.0817093849
0.6745654958	29.6925983429	-1.0826271772
0.6746233654	29.7118778229	-1.0830826759
0.6746812217	29.7125949860	-1.0830996037
0.6747391029	29.7322654724	-1.0835633278
0.6747969786	29.7401504517	-1.0837489367
0.6748548562	29.7511062622	-1.0840065479
0.6749127334	29.7705860138	-1.0844639540
0.6749705939	29.7877655029	-1.0848665237
0.6750284556	29.8071899414	-1.0853208303
0.6750863285	29.8219318390	-1.0856649876
0.6751441981	29.8223304749	-1.0856742859
0.6752020650	29.8278865814	-1.0858038664
0.6752599406	29.8338623047	-1.0859431028
0.6753178047	29.8272171021	-1.0857882500
0.6753756731	29.8029212952	-1.0852210522
0.6754335643	29.8403816223	-1.0860949755
0.6754914201	29.8464164734	-1.0862354040
0.6755492882	29.8647537231	-1.0866616964
0.6756071475	29.8770561218	-1.0869472027
0.6756650134	29.8720874786	-1.0868319273
