Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5725998517	31.1190910339	-1.1139453650
0.5726577170	30.9249362946	-1.1099548340
0.5727155856	31.0170783997	-1.1118588448
0.5727734526	30.9926643372	-1.1113561392
0.5728313201	30.7926349640	-1.1071883440
0.5728892033	30.4002342224	-1.0987522602
0.5729470796	30.1407985687	-1.0929797888
0.5730049240	29.9343757629	-1.0882725716
0.5730628106	29.8906154633	-1.0872614384
0.5731206772	29.7193927765	-1.0832599401
0.5731785484	29.4015445709	-1.0756373405
0.5732364206	29.3253669739	-1.0737721920
0.5732942942	29.0251026154	-1.0662724972
0.5733521727	28.6783046722	-1.0573096275
0.5734100366	28.3104324341	-1.0474365950
0.5734679032	28.0713100433	-1.0408103466
0.5735257678	27.8299121857	-1.0339492559
0.5735836514	27.5146102905	-1.0247203112
0.5736415088	27.1753864288	-1.0144422054
0.5736993941	27.0893726349	-1.0117770433
0.5737572392	26.4457263947	-0.9910469651
0.5738151390	25.7699298859	-0.9677115083
0.5738729806	25.6236972809	-0.9624392390
0.5739308784	25.3487625122	-0.9523038268
0.5739887243	25.1964340210	-0.9465603232
0.5740466070	24.7150135040	-0.9277894497
0.5741044613	24.2777023315	-0.9098917842
0.5741623474	23.8046264648	-0.8895773292
0.5742202282	23.6139087677	-0.8810964823
0.5742780731	23.2031974792	-0.8622428775
0.5743359590	23.0931320190	-0.8570498824
0.5743938234	22.5876941681	-0.8324131966
0.5744516969	22.2634048462	-0.8158999085
0.5745095549	22.0528430939	-0.8048712015
0.5745674229	22.3826522827	-0.8220379949
0.5746253089	21.2855186462	-0.7625417709
0.5746831736	21.1910820007	-0.7570912838
0.5747410451	20.8874702454	-0.7391953468
0.5747989297	20.4621315002	-0.7131403089
0.5748568001	19.9480915070	-0.6800501347
0.5749146598	20.0019321442	-0.6836007833
0.5749725343	19.7343769073	-0.6657556891
0.5750303964	19.2945156097	-0.6353007555
0.5750882737	19.3111248016	-0.6364765167
0.5751461384	19.0040664673	-0.6144016385
0.5752040109	18.6522979736	-0.5882174373
0.5752618745	18.0564785004	-0.5415882468
