Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6403218886	19555.6640625000	1.9776673317	22023.9687500000	1.8081781475	19821.5718750000	22023.9687500000	19821.5718750000	9821.5718750000	2085.9000000000	4.7085535620	19821.5718750000
0.6403334672	19597.4824218750	2.0017435551	22172.4394531250	1.8184538960	19955.1955078125	22172.4394531250	19955.1955078125	9955.1955078125	2085.9000000000	4.7726139833	19955.1955078125
0.6403450476	19582.0546875000	2.0351526737	22172.4394531250	1.8268173758	19955.1955078125	22172.4394531250	19955.1955078125	9955.1955078125	2085.9000000000	4.7726139833	19955.1955078125
0.6403566202	19658.5371093750	2.0647623539	22172.4394531250	1.8153198365	19955.1955078125	22172.4394531250	19955.1955078125	9955.1955078125	2085.9000000000	4.7726139833	19955.1955078125
0.6403682011	19552.0566406250	2.0921533108	22172.4394531250	1.7943576861	19955.1955078125	22172.4394531250	19955.1955078125	9955.1955078125	2085.9000000000	4.7726139833	19955.1955078125
0.6403797670	19605.4882812500	2.1267516613	22172.4394531250	1.8230452391	19955.1955078125	22172.4394531250	19955.1955078125	9955.1955078125	2085.9000000000	4.7726139833	19955.1955078125
0.6403913604	19748.1210937500	2.1623926163	22350.9804687500	1.8144505681	20115.8824218750	22350.9804687500	20115.8824218750	10115.8824218750	2085.9000000000	4.8496487952	20115.8824218750
0.6404029260	19723.3046875000	2.1940271854	22350.9804687500	1.7454824341	20115.8824218750	22350.9804687500	20115.8824218750	10115.8824218750	2085.9000000000	4.8496487952	20115.8824218750
0.6404145087	19605.6484375000	2.2156002522	22350.9804687500	1.7568782013	20115.8824218750	22350.9804687500	20115.8824218750	10115.8824218750	2085.9000000000	4.8496487952	20115.8824218750
0.6404260672	19585.5957031250	2.2435500622	22350.9804687500	1.7666561909	20115.8824218750	22350.9804687500	20115.8824218750	10115.8824218750	2085.9000000000	4.8496487952	20115.8824218750
0.6404376368	19831.5039062500	2.2679355145	22350.9804687500	1.8110178618	20115.8824218750	22350.9804687500	20115.8824218750	10115.8824218750	2085.9000000000	4.8496487952	20115.8824218750
0.6404491989	19633.2753906250	2.2984087467	22454.4941406250	1.6903190113	20209.0447265625	22454.4941406250	20209.0447265625	10209.0447265625	2085.9000000000	4.8943116768	20209.0447265625
0.6404607847	19845.1582031250	2.3334598541	22454.4941406250	1.7440254222	20209.0447265625	22454.4941406250	20209.0447265625	10209.0447265625	2085.9000000000	4.8943116768	20209.0447265625
0.6404723495	19652.7187500000	2.3570289612	22454.4941406250	1.7505156096	20209.0447265625	22454.4941406250	20209.0447265625	10209.0447265625	2085.9000000000	4.8943116768	20209.0447265625
0.6404839376	19896.8085937500	2.3869528770	22454.4941406250	1.7918396194	20209.0447265625	22454.4941406250	20209.0447265625	10209.0447265625	2085.9000000000	4.8943116768	20209.0447265625
0.6404954937	19925.0351562500	2.4234130383	22454.4941406250	1.8277643285	20209.0447265625	22454.4941406250	20209.0447265625	10209.0447265625	2085.9000000000	4.8943116768	20209.0447265625
0.6405070767	19860.5722656250	2.4453809261	22518.9882812500	1.7417245671	20267.0894531250	22518.9882812500	20267.0894531250	10267.0894531250	2085.9000000000	4.9221388624	20267.0894531250
0.6405186591	19836.7910156250	2.4783096313	22518.9882812500	1.7630707194	20267.0894531250	22518.9882812500	20267.0894531250	10267.0894531250	2085.9000000000	4.9221388624	20267.0894531250
0.6405301028	19943.9472656250	2.4935266972	22518.9882812500	1.8143217438	20267.0894531250	22518.9882812500	20267.0894531250	10267.0894531250	2085.9000000000	4.9221388624	20267.0894531250
0.6405417889	19897.6054687500	2.5300486088	22518.9882812500	1.7658665329	20267.0894531250	22518.9882812500	20267.0894531250	10267.0894531250	2085.9000000000	4.9221388624	20267.0894531250
0.6405533912	19862.4804687500	2.5573868752	22518.9882812500	1.7845155117	20267.0894531250	22518.9882812500	20267.0894531250	10267.0894531250	2085.9000000000	4.9221388624	20267.0894531250
0.6405649520	19845.4628906250	2.5835657120	22575.3574218750	1.7497219899	20317.8216796875	22575.3574218750	20317.8216796875	10317.8216796875	2085.9000000000	4.9464603671	20317.8216796875
0.6405765408	19910.1269531250	2.6138186455	22575.3574218750	1.7830480814	20317.8216796875	22575.3574218750	20317.8216796875	10317.8216796875	2085.9000000000	4.9464603671	20317.8216796875
0.6405880915	19945.9804687500	2.6401202679	22575.3574218750	1.7642660949	20317.8216796875	22575.3574218750	20317.8216796875	10317.8216796875	2085.9000000000	4.9464603671	20317.8216796875
0.6405995665	19891.4121093750	2.6718304157	22575.3574218750	1.7227796926	20317.8216796875	22575.3574218750	20317.8216796875	10317.8216796875	2085.9000000000	4.9464603671	20317.8216796875
0.6406112567	19916.0292968750	2.7069110870	22575.3574218750	1.7729804233	20317.8216796875	22575.3574218750	20317.8216796875	10317.8216796875	2085.9000000000	4.9464603671	20317.8216796875
0.6406228163	19944.7890625000	2.7303662300	22561.4082031250	1.7397387575	20305.2673828125	22561.4082031250	20305.2673828125	10305.2673828125	2085.9000000000	4.9404417196	20305.2673828125
0.6406343823	19890.2597656250	2.7657394409	22561.4082031250	1.7823638966	20305.2673828125	22561.4082031250	20305.2673828125	10305.2673828125	2085.9000000000	4.9404417196	20305.2673828125
0.6406459654	19926.8652343750	2.7879092693	22561.4082031250	1.7843902454	20305.2673828125	22561.4082031250	20305.2673828125	10305.2673828125	2085.9000000000	4.9404417196	20305.2673828125
0.6406575425	19850.8261718750	2.8222141266	22561.4082031250	1.7633511468	20305.2673828125	22561.4082031250	20305.2673828125	10305.2673828125	2085.9000000000	4.9404417196	20305.2673828125
0.6406691440	20021.7773437500	2.8533041477	22561.4082031250	1.8149808755	20305.2673828125	22561.4082031250	20305.2673828125	10305.2673828125	2085.9000000000	4.9404417196	20305.2673828125
0.6406806853	19846.9902343750	2.8851644993	22604.7617187500	1.7108974046	20344.2855468750	22604.7617187500	20344.2855468750	10344.2855468750	2085.9000000000	4.9591473929	20344.2855468750
0.6406922531	19976.8300781250	2.9084744453	22604.7617187500	1.7788140640	20344.2855468750	22604.7617187500	20344.2855468750	10344.2855468750	2085.9000000000	4.9591473929	20344.2855468750
0.6407038445	20008.6972656250	2.9364981651	22604.7617187500	1.7863144635	20344.2855468750	22604.7617187500	20344.2855468750	10344.2855468750	2085.9000000000	4.9591473929	20344.2855468750
0.6407154074	19887.3554687500	2.9670422077	22604.7617187500	1.7213116894	20344.2855468750	22604.7617187500	20344.2855468750	10344.2855468750	2085.9000000000	4.9591473929	20344.2855468750
0.6407269880	19833.0195312500	2.9953179359	22604.7617187500	1.7661910323	20344.2855468750	22604.7617187500	20344.2855468750	10344.2855468750	2085.9000000000	4.9591473929	20344.2855468750
0.6407385932	20012.7480468750	3.0204017162	22625.9003906250	1.7680575216	20363.3103515625	22625.9003906250	20363.3103515625	10363.3103515625	2085.9000000000	4.9682680625	20363.3103515625
0.6407501376	19933.6406250000	3.0503582954	22625.9003906250	1.7534151756	20363.3103515625	22625.9003906250	20363.3103515625	10363.3103515625	2085.9000000000	4.9682680625	20363.3103515625
0.6407617333	19864.0976562500	3.0747151375	22625.9003906250	1.7478714565	20363.3103515625	22625.9003906250	20363.3103515625	10363.3103515625	2085.9000000000	4.9682680625	20363.3103515625
0.6407732694	19940.6679687500	3.0998485088	22625.9003906250	1.7570485075	20363.3103515625	22625.9003906250	20363.3103515625	10363.3103515625	2085.9000000000	4.9682680625	20363.3103515625
0.6407848588	19873.0468750000	3.1262881756	22625.9003906250	1.7303317742	20363.3103515625	22625.9003906250	20363.3103515625	10363.3103515625	2085.9000000000	4.9682680625	20363.3103515625
0.6407964611	19986.9277343750	3.1535747051	22614.8417968750	1.8020296896	20353.3576171875	22614.8417968750	20353.3576171875	10353.3576171875	2085.9000000000	4.9634966284	20353.3576171875
0.6408080058	19938.8828125000	3.1738512516	22614.8417968750	1.7583732157	20353.3576171875	22614.8417968750	20353.3576171875	10353.3576171875	2085.9000000000	4.9634966284	20353.3576171875
0.6408195991	19861.7285156250	3.1964969635	22614.8417968750	1.7713970558	20353.3576171875	22614.8417968750	20353.3576171875	10353.3576171875	2085.9000000000	4.9634966284	20353.3576171875
0.6408311636	19874.0156250000	3.2199153900	22614.8417968750	1.7757824137	20353.3576171875	22614.8417968750	20353.3576171875	10353.3576171875	2085.9000000000	4.9634966284	20353.3576171875
0.6408427335	19913.9375000000	3.2456545830	22614.8417968750	1.7672810514	20353.3576171875	22614.8417968750	20353.3576171875	10353.3576171875	2085.9000000000	4.9634966284	20353.3576171875
0.6408543189	19974.8320312500	3.2735099792	22615.5292968750	1.7916344463	20353.9763671875	22615.5292968750	20353.9763671875	10353.9763671875	2085.9000000000	4.9637932630	20353.9763671875
0.6408658883	19940.9140625000	3.3011186123	22615.5292968750	1.7676630930	20353.9763671875	22615.5292968750	20353.9763671875	10353.9763671875	2085.9000000000	4.9637932630	20353.9763671875
0.6408774662	19875.6308593750	3.3179621696	22615.5292968750	1.7526439428	20353.9763671875	22615.5292968750	20353.9763671875	10353.9763671875	2085.9000000000	4.9637932630	20353.9763671875
0.6408890304	19979.1171875000	3.3395314217	22615.5292968750	1.7664575346	20353.9763671875	22615.5292968750	20353.9763671875	10353.9763671875	2085.9000000000	4.9637932630	20353.9763671875
0.6409005984	19890.7402343750	3.3580596447	22615.5292968750	1.7154525762	20353.9763671875	22615.5292968750	20353.9763671875	10353.9763671875	2085.9000000000	4.9637932630	20353.9763671875
0.6409121871	19957.4511718750	3.3840796947	22610.5742187500	1.7789623593	20349.5167968750	22610.5742187500	20349.5167968750	10349.5167968750	2085.9000000000	4.9616553032	20349.5167968750
0.6409237506	19877.6855468750	3.4037673473	22610.5742187500	1.7621950765	20349.5167968750	22610.5742187500	20349.5167968750	10349.5167968750	2085.9000000000	4.9616553032	20349.5167968750
0.6409353298	20025.2500000000	3.4305984974	22610.5742187500	1.8108707390	20349.5167968750	22610.5742187500	20349.5167968750	10349.5167968750	2085.9000000000	4.9616553032	20349.5167968750
0.6409468893	19855.9804687500	3.4509978294	22610.5742187500	1.7460169749	20349.5167968750	22610.5742187500	20349.5167968750	10349.5167968750	2085.9000000000	4.9616553032	20349.5167968750
0.6409584770	19991.7871093750	3.4801280499	22610.5742187500	1.7643389002	20349.5167968750	22610.5742187500	20349.5167968750	10349.5167968750	2085.9000000000	4.9616553032	20349.5167968750
0.6409700637	20014.6093750000	3.5044157505	22598.8105468750	1.8105734343	20338.9294921875	22598.8105468750	20338.9294921875	10338.9294921875	2085.9000000000	4.9565796501	20338.9294921875
0.6409816236	19892.7617187500	3.5292086601	22598.8105468750	1.7652366015	20338.9294921875	22598.8105468750	20338.9294921875	10338.9294921875	2085.9000000000	4.9565796501	20338.9294921875
0.6409932088	19868.4335937500	3.5455338955	22598.8105468750	1.7340242240	20338.9294921875	22598.8105468750	20338.9294921875	10338.9294921875	2085.9000000000	4.9565796501	20338.9294921875
