Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6306227749	13025.6650390625	2.6030859947	22277.6972656250	0.2835559037	20049.9275390625	22277.6972656250	20049.9275390625	10049.9275390625	613.5000000000	16.3812999822	20049.9275390625
0.6306343564	13034.9248046875	2.6133787632	22277.6972656250	0.2835304405	20049.9275390625	22277.6972656250	20049.9275390625	10049.9275390625	613.5000000000	16.3812999822	20049.9275390625
0.6306459538	13031.7880859375	2.6280369759	22277.6972656250	0.2838047267	20049.9275390625	22277.6972656250	20049.9275390625	10049.9275390625	613.5000000000	16.3812999822	20049.9275390625
0.6306575161	13031.8925781250	2.6360201836	22277.6972656250	0.2836266455	20049.9275390625	22277.6972656250	20049.9275390625	10049.9275390625	613.5000000000	16.3812999822	20049.9275390625
0.6306690793	13018.8730468750	2.6576321125	22317.3281250000	0.2830144944	20085.5953125000	22317.3281250000	20085.5953125000	10085.5953125000	613.5000000000	16.4394381622	20085.5953125000
0.6306806461	13056.0644531250	2.6653051376	22317.3281250000	0.2836516121	20085.5953125000	22317.3281250000	20085.5953125000	10085.5953125000	613.5000000000	16.4394381622	20085.5953125000
0.6306922154	13017.1044921875	2.6764423847	22317.3281250000	0.2822433877	20085.5953125000	22317.3281250000	20085.5953125000	10085.5953125000	613.5000000000	16.4394381622	20085.5953125000
0.6307037996	13009.3808593750	2.6883025169	22317.3281250000	0.2826931238	20085.5953125000	22317.3281250000	20085.5953125000	10085.5953125000	613.5000000000	16.4394381622	20085.5953125000
0.6307153703	13065.1337890625	2.7048330307	22317.3281250000	0.2833886587	20085.5953125000	22317.3281250000	20085.5953125000	10085.5953125000	613.5000000000	16.4394381622	20085.5953125000
0.6307269501	13053.0849609375	2.7346043587	22113.8437500000	0.2868325117	19902.4593750000	22113.8437500000	19902.4593750000	9902.4593750000	613.5000000000	16.1409280766	19902.4593750000
0.6307385176	13055.3642578125	2.7439270020	22113.8437500000	0.2866267985	19902.4593750000	22113.8437500000	19902.4593750000	9902.4593750000	613.5000000000	16.1409280766	19902.4593750000
0.6307501117	13037.2148437500	2.7685151100	22113.8437500000	0.2862664395	19902.4593750000	22113.8437500000	19902.4593750000	9902.4593750000	613.5000000000	16.1409280766	19902.4593750000
0.6307616842	13025.8251953125	2.7714910507	22113.8437500000	0.2860647269	19902.4593750000	22113.8437500000	19902.4593750000	9902.4593750000	613.5000000000	16.1409280766	19902.4593750000
0.6307732618	13045.9248046875	2.7879536152	22113.8437500000	0.2864204087	19902.4593750000	22113.8437500000	19902.4593750000	9902.4593750000	613.5000000000	16.1409280766	19902.4593750000
0.6307848112	13038.2011718750	2.8084416389	21972.6718750000	0.2886689766	19775.4046875000	21972.6718750000	19775.4046875000	9775.4046875000	613.5000000000	15.9338299715	19775.4046875000
0.6307964027	13031.5009765625	2.8119685650	21972.6718750000	0.2885940287	19775.4046875000	21972.6718750000	19775.4046875000	9775.4046875000	613.5000000000	15.9338299715	19775.4046875000
0.6308079669	13041.4589843750	2.8301789761	21972.6718750000	0.2885669405	19775.4046875000	21972.6718750000	19775.4046875000	9775.4046875000	613.5000000000	15.9338299715	19775.4046875000
0.6308195087	13053.1767578125	2.8488862514	21972.6718750000	0.2888663734	19775.4046875000	21972.6718750000	19775.4046875000	9775.4046875000	613.5000000000	15.9338299715	19775.4046875000
0.6308311333	13023.5585937500	2.8523762226	21972.6718750000	0.2883649662	19775.4046875000	21972.6718750000	19775.4046875000	9775.4046875000	613.5000000000	15.9338299715	19775.4046875000
