Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6352871794	19303.4238281250	1.9688861370	22021.7929687500	1.1386319005	19819.6136718750	22021.7929687500	19819.6136718750	9819.6136718750	1349.7000000000	7.2754046617	19819.6136718750
0.6352987395	19342.0507812500	2.0060768127	22051.9296875000	1.1307040007	19846.7367187500	22051.9296875000	19846.7367187500	9846.7367187500	1349.7000000000	7.2955002732	19846.7367187500
0.6353103222	19377.3535156250	2.0340793133	22051.9296875000	1.1271315025	19846.7367187500	22051.9296875000	19846.7367187500	9846.7367187500	1349.7000000000	7.2955002732	19846.7367187500
0.6353219054	19387.3242187500	2.0643994808	22051.9296875000	1.1614993183	19846.7367187500	22051.9296875000	19846.7367187500	9846.7367187500	1349.7000000000	7.2955002732	19846.7367187500
0.6353334857	19316.3125000000	2.0846960545	22051.9296875000	1.1166390618	19846.7367187500	22051.9296875000	19846.7367187500	9846.7367187500	1349.7000000000	7.2955002732	19846.7367187500
0.6353450483	19475.1289062500	2.1179609299	22051.9296875000	1.1697475644	19846.7367187500	22051.9296875000	19846.7367187500	9846.7367187500	1349.7000000000	7.2955002732	19846.7367187500
0.6353566245	19498.0019531250	2.1410403252	22096.2246093750	1.1532133401	19886.6021484375	22096.2246093750	19886.6021484375	9886.6021484375	1349.7000000000	7.3250367848	19886.6021484375
0.6353681986	19348.6816406250	2.1707181931	22096.2246093750	1.1359310963	19886.6021484375	22096.2246093750	19886.6021484375	9886.6021484375	1349.7000000000	7.3250367848	19886.6021484375
0.6353797731	19464.0683593750	2.1998710632	22096.2246093750	1.1588609342	19886.6021484375	22096.2246093750	19886.6021484375	9886.6021484375	1349.7000000000	7.3250367848	19886.6021484375
0.6353913343	19419.2031250000	2.2219407558	22096.2246093750	1.1442212728	19886.6021484375	22096.2246093750	19886.6021484375	9886.6021484375	1349.7000000000	7.3250367848	19886.6021484375
0.6354029240	19408.3144531250	2.2543303967	22096.2246093750	1.1694220389	19886.6021484375	22096.2246093750	19886.6021484375	9886.6021484375	1349.7000000000	7.3250367848	19886.6021484375
0.6354144868	19392.3144531250	2.2825186253	22044.9335937500	1.1541826574	19840.4402343750	22044.9335937500	19840.4402343750	9840.4402343750	1349.7000000000	7.2908351740	19840.4402343750
0.6354260529	19392.4042968750	2.3126947880	22044.9335937500	1.1524200890	19840.4402343750	22044.9335937500	19840.4402343750	9840.4402343750	1349.7000000000	7.2908351740	19840.4402343750
0.6354376553	19396.3789062500	2.3415286541	22044.9335937500	1.1441102256	19840.4402343750	22044.9335937500	19840.4402343750	9840.4402343750	1349.7000000000	7.2908351740	19840.4402343750
0.6354492278	19363.4550781250	2.3721292019	22044.9335937500	1.1259080477	19840.4402343750	22044.9335937500	19840.4402343750	9840.4402343750	1349.7000000000	7.2908351740	19840.4402343750
0.6354608021	19455.6093750000	2.4116480350	22044.9335937500	1.1764098405	19840.4402343750	22044.9335937500	19840.4402343750	9840.4402343750	1349.7000000000	7.2908351740	19840.4402343750
0.6354723601	19417.7089843750	2.4291043282	22084.8671875000	1.1733446194	19876.3804687500	22084.8671875000	19876.3804687500	9876.3804687500	1349.7000000000	7.3174634873	19876.3804687500
0.6354839458	19359.1425781250	2.4643454552	22084.8671875000	1.1210332372	19876.3804687500	22084.8671875000	19876.3804687500	9876.3804687500	1349.7000000000	7.3174634873	19876.3804687500
0.6354955039	19440.8437500000	2.4877705574	22084.8671875000	1.1335849026	19876.3804687500	22084.8671875000	19876.3804687500	9876.3804687500	1349.7000000000	7.3174634873	19876.3804687500
0.6355070930	19234.4082031250	2.5146138668	22084.8671875000	1.1203398696	19876.3804687500	22084.8671875000	19876.3804687500	9876.3804687500	1349.7000000000	7.3174634873	19876.3804687500
0.6355186110	19369.8808593750	2.5543260574	22084.8671875000	1.1325339076	19876.3804687500	22084.8671875000	19876.3804687500	9876.3804687500	1349.7000000000	7.3174634873	19876.3804687500
0.6355302355	19200.7617187500	2.5849647522	21962.8710937500	1.1303535592	19766.5839843750	21962.8710937500	19766.5839843750	9766.5839843750	1349.7000000000	7.2361146806	19766.5839843750
0.6355418077	19167.9160156250	2.6155905724	21962.8710937500	1.1301859727	19766.5839843750	21962.8710937500	19766.5839843750	9766.5839843750	1349.7000000000	7.2361146806	19766.5839843750
0.6355533798	19165.2675781250	2.6511771679	21962.8710937500	1.1313738145	19766.5839843750	21962.8710937500	19766.5839843750	9766.5839843750	1349.7000000000	7.2361146806	19766.5839843750
0.6355649609	19096.3007812500	2.6766991615	21962.8710937500	1.1036995194	19766.5839843750	21962.8710937500	19766.5839843750	9766.5839843750	1349.7000000000	7.2361146806	19766.5839843750
0.6355765393	19022.1542968750	2.7488846779	21962.8710937500	1.0881499223	19766.5839843750	21962.8710937500	19766.5839843750	9766.5839843750	1349.7000000000	7.2361146806	19766.5839843750
0.6355881067	19076.9785156250	2.8345665932	21666.0859375000	1.1759977406	19499.4773437500	21666.0859375000	19499.4773437500	9499.4773437500	1349.7000000000	7.0382139318	19499.4773437500
0.6355996858	19030.2460937500	2.9158699512	21666.0859375000	1.1560743471	19499.4773437500	21666.0859375000	19499.4773437500	9499.4773437500	1349.7000000000	7.0382139318	19499.4773437500
0.6356112499	19002.2695312500	2.9738757610	21666.0859375000	1.1643629256	19499.4773437500	21666.0859375000	19499.4773437500	9499.4773437500	1349.7000000000	7.0382139318	19499.4773437500
0.6356228286	18997.5937500000	3.0310192108	21666.0859375000	1.1461613404	19499.4773437500	21666.0859375000	19499.4773437500	9499.4773437500	1349.7000000000	7.0382139318	19499.4773437500
0.6356343880	19058.6230468750	3.0826032162	21666.0859375000	1.1575712981	19499.4773437500	21666.0859375000	19499.4773437500	9499.4773437500	1349.7000000000	7.0382139318	19499.4773437500
0.6356459705	18996.3203125000	3.1241128445	21565.5878906250	1.1644751034	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6356575662	19034.4003906250	3.1607348919	21565.5878906250	1.1830661783	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6356691438	19039.5781250000	3.1904244423	21565.5878906250	1.1655762169	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6356806924	18924.0898437500	3.2186093330	21565.5878906250	1.1500866798	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6356922845	19041.9960937500	3.2384476662	21565.5878906250	1.1748420752	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6357038614	19035.4433593750	3.2664093971	21565.5878906250	1.1697936661	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6357153467	18979.7890625000	3.2846710682	21565.5878906250	1.1583225698	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6357269837	18949.1660156250	3.3115737438	21565.5878906250	1.1457905017	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6357385670	19081.0898437500	3.3272583485	21565.5878906250	1.1897680893	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6357501563	19082.5156250000	3.3496236801	21565.5878906250	1.1910926707	19409.0291015625	21565.5878906250	19409.0291015625	9409.0291015625	1349.7000000000	6.9712003420	19409.0291015625
0.6357617309	19018.5039062500	3.3714232445	21605.6914062500	1.1497184424	19445.1222656250	21605.6914062500	19445.1222656250	9445.1222656250	1349.7000000000	6.9979419616	19445.1222656250
0.6357733015	19087.2128906250	3.3859977722	21605.6914062500	1.1686866434	19445.1222656250	21605.6914062500	19445.1222656250	9445.1222656250	1349.7000000000	6.9979419616	19445.1222656250
0.6357848073	18952.8476562500	3.4069807529	21605.6914062500	1.1494424651	19445.1222656250	21605.6914062500	19445.1222656250	9445.1222656250	1349.7000000000	6.9979419616	19445.1222656250
0.6357963560	19072.1328125000	3.4304325581	21605.6914062500	1.1789800770	19445.1222656250	21605.6914062500	19445.1222656250	9445.1222656250	1349.7000000000	6.9979419616	19445.1222656250
0.6358080264	19048.2890625000	3.4489550591	21605.6914062500	1.1795139188	19445.1222656250	21605.6914062500	19445.1222656250	9445.1222656250	1349.7000000000	6.9979419616	19445.1222656250
0.6358196011	19060.7500000000	3.4749817848	21632.8730468750	1.1549891318	19469.5857421875	21632.8730468750	19469.5857421875	9469.5857421875	1349.7000000000	7.0160670832	19469.5857421875
0.6358311787	18970.5664062500	3.4962108135	21632.8730468750	1.1426525038	19469.5857421875	21632.8730468750	19469.5857421875	9469.5857421875	1349.7000000000	7.0160670832	19469.5857421875
0.6358427512	19017.8398437500	3.5178856850	21632.8730468750	1.1684517658	19469.5857421875	21632.8730468750	19469.5857421875	9469.5857421875	1349.7000000000	7.0160670832	19469.5857421875
0.6358543093	19042.7285156250	3.5419099331	21632.8730468750	1.1617282495	19469.5857421875	21632.8730468750	19469.5857421875	9469.5857421875	1349.7000000000	7.0160670832	19469.5857421875
0.6358659065	19120.3574218750	3.5623652935	21632.8730468750	1.1911896395	19469.5857421875	21632.8730468750	19469.5857421875	9469.5857421875	1349.7000000000	7.0160670832	19469.5857421875
0.6358774394	19090.8125000000	3.5791444778	21622.5488281250	1.1882523008	19460.2939453125	21622.5488281250	19460.2939453125	9460.2939453125	1349.7000000000	7.0091827408	19460.2939453125
0.6358890181	18953.4921875000	3.6073038578	21622.5488281250	1.1522234206	19460.2939453125	21622.5488281250	19460.2939453125	9460.2939453125	1349.7000000000	7.0091827408	19460.2939453125
0.6359006228	18970.7792968750	3.6168930531	21622.5488281250	1.1576387655	19460.2939453125	21622.5488281250	19460.2939453125	9460.2939453125	1349.7000000000	7.0091827408	19460.2939453125
0.6359121764	19025.6328125000	3.6425642967	21622.5488281250	1.1642461555	19460.2939453125	21622.5488281250	19460.2939453125	9460.2939453125	1349.7000000000	7.0091827408	19460.2939453125
0.6359237696	18975.5332031250	3.6542291641	21622.5488281250	1.1430409699	19460.2939453125	21622.5488281250	19460.2939453125	9460.2939453125	1349.7000000000	7.0091827408	19460.2939453125
0.6359353481	19017.3730468750	3.6843519211	21599.4218750000	1.1907831640	19439.4796875000	21599.4218750000	19439.4796875000	9439.4796875000	1349.7000000000	6.9937613451	19439.4796875000
0.6359469102	18990.9550781250	3.7006499767	21599.4218750000	1.1539868549	19439.4796875000	21599.4218750000	19439.4796875000	9439.4796875000	1349.7000000000	6.9937613451	19439.4796875000
0.6359584672	18906.2187500000	3.7172174454	21599.4218750000	1.1435543962	19439.4796875000	21599.4218750000	19439.4796875000	9439.4796875000	1349.7000000000	6.9937613451	19439.4796875000
0.6359699930	18962.7265625000	3.7373840809	21599.4218750000	1.1467146226	19439.4796875000	21599.4218750000	19439.4796875000	9439.4796875000	1349.7000000000	6.9937613451	19439.4796875000
