Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6112551310	41.7629051208	-1.2440226078
0.6113129900	41.8158493042	-1.2443718910
0.6113708639	41.8559951782	-1.2446354628
0.6114287292	41.9113311768	-1.2449969053
0.6114865898	41.8586158752	-1.2446526289
0.6115444734	41.7721176147	-1.2440835238
0.6116023528	41.8124237061	-1.2443493605
0.6116602240	41.7913475037	-1.2442104816
0.6117180890	41.7527122498	-1.2439551353
0.6117759664	41.7500495911	-1.2439374924
0.6118338373	41.7280311584	-1.2437914610
0.6118917085	41.6561889648	-1.2433125973
0.6119495622	41.6584014893	-1.2433273792
0.6120074595	41.6627311707	-1.2433563471
0.6120653394	41.6366119385	-1.2431814671
0.6121231900	41.6207847595	-1.2430752516
0.6121810606	41.6061668396	-1.2429770231
0.6122389188	41.6071624756	-1.2429836988
0.6122968027	41.5672225952	-1.2427145243
0.6123546709	41.6125144958	-1.2430197001
0.6124125268	41.6217231750	-1.2430815697
0.6124704169	41.6537857056	-1.2432965040
0.6125282676	41.6382484436	-1.2431924343
0.6125861546	41.6738471985	-1.2434306145
0.6126440269	41.6959877014	-1.2435783148
0.6127018859	41.6950950623	-1.2435723543
0.6127597687	41.7271881104	-1.2437858582
0.6128176300	41.7416152954	-1.2438815832
0.6128754885	41.7651939392	-1.2440377474
0.6129333619	41.7737617493	-1.2440943718
0.6129912392	41.7977447510	-1.2442526817
0.6130491124	41.7878417969	-1.2441873550
0.6131069999	41.7716484070	-1.2440804243
0.6131648541	41.7555389404	-1.2439738512
0.6132227153	41.7318572998	-1.2438168526
0.6132806170	41.7181472778	-1.2437257767
0.6133384763	41.6911582947	-1.2435461283
0.6133963376	41.7028770447	-1.2436242104
0.6134541954	41.6904602051	-1.2435414791
0.6135120710	41.7078056335	-1.2436569929
0.6135699577	41.6890830994	-1.2435323000
0.6136278159	41.7094154358	-1.2436677217
0.6136856824	41.7269554138	-1.2437843084
0.6137435489	41.6949691772	-1.2435715199
0.6138014384	41.6536445618	-1.2432955503
0.6138593001	41.6521453857	-1.2432855368
0.6139171779	41.6315650940	-1.2431476116
0.6139750679	41.6109352112	-1.2430090904
0.6140329231	41.5807151794	-1.2428056002
0.6140908018	41.5395698547	-1.2425274849
0.6141486552	41.4949035645	-1.2422242165
0.6142065260	41.4659767151	-1.2420270443
0.6142644017	41.4364929199	-1.2418254614
0.6143222628	41.3926353455	-1.2415244579
0.6143801429	41.3307342529	-1.2410972118
0.6144380124	41.2804946899	-1.2407484055
