Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6662167253	5.4986886978	1.5726374388
0.6662745869	5.3275570869	1.6251118183
0.6663324583	5.2214188576	1.6581364870
0.6663903480	5.1572504044	1.6782826185
0.6664482085	5.1492137909	1.6808154583
0.6665060858	5.0314559937	1.7181745768
0.6665639449	5.0327672958	1.7177560329
0.6666218414	4.9832534790	1.7336015701
0.6666796808	4.9461760521	1.7455214262
0.6667375669	4.6792421341	1.8327279091
0.6667954273	4.5602579117	1.8723982573
0.6668533029	4.4572682381	1.9071403742
0.6669111710	4.3636026382	1.9390666485
0.6669690389	4.2737669945	1.9699856043
0.6670269015	4.1512832642	2.0126159191
0.6670847870	4.1388163567	2.0169861317
0.6671426686	4.0678572655	2.0419695377
0.6672005276	3.9544944763	2.0822727680
0.6672583947	3.9663281441	2.0780429840
0.6673162631	3.9040017128	2.1003799438
0.6673741372	3.7826573849	2.1442918777
0.6674320056	3.7035815716	2.1732118130
0.6674898635	3.6000764370	2.2114326954
0.6675477445	3.5653815269	2.2243380547
0.6676056012	3.5466425419	2.2313280106
0.6676634846	3.4904038906	2.2523891926
0.6677213631	3.3812990189	2.2936067581
0.6677792276	3.3495161533	2.3057031631
0.6678371078	3.2823789120	2.3313891888
0.6678949825	3.2229216099	2.3542892933
0.6679528305	3.1680545807	2.3755493164
0.6680107137	3.1222538948	2.3933908939
0.6680685790	3.0569033623	2.4189977646
0.6681264471	3.0518748760	2.4209754467
0.6681843218	2.9944217205	2.4436461926
0.6682421745	2.9075067043	2.4782047272
0.6683000643	2.8718762398	2.4924638271
0.6683579150	2.7894797325	2.5256443024
0.6684157950	2.7650384903	2.5355422497
0.6684736754	2.7075715065	2.5589153767
0.6685315312	2.6839296818	2.5685722828
0.6685894135	2.6373019218	2.5876889229
0.6686472816	2.5418660641	2.6271107197
0.6687051696	2.5122013092	2.6394455433
0.6687630424	2.4681472778	2.6578347683
0.6688209097	2.4173295498	2.6791539192
0.6688787675	2.3871049881	2.6918880939
0.6689366311	2.3739454746	2.6974451542
0.6689945098	2.3561227322	2.7049837112
0.6690523799	2.2919542789	2.7322430611
0.6691102377	2.2378914356	2.7553532124
0.6691681358	2.2504918575	2.7499551773
0.6692259817	2.2566971779	2.7472994328
0.6692838452	2.2293789387	2.7590041161
0.6693417530	2.1747963428	2.7824916840
0.6693995907	2.1401998997	2.7974491119
0.6694574691	2.0845706463	2.8216147423
0.6695153409	2.0539741516	2.8349666595
0.6695732073	1.9993050098	2.8589310646
0.6696310724	1.9753530025	2.8694741726
0.6696889378	1.9946150780	2.8609933853
0.6697468246	1.9290072918	2.8899502754
0.6698046925	1.9331063032	2.8881351948
0.6698625650	1.8964254856	2.9044053555
0.6699204115	1.8350249529	2.9317815304
0.6699782879	1.7891514301	2.9523508549
0.6700361691	1.7801595926	2.9563944340
0.6700940379	1.7430977821	2.9731013775
0.6701519063	1.7663189173	2.9626259804
0.6702097629	1.7582955360	2.9662425518
0.6702676477	1.7594540119	2.9657201767
0.6703255170	1.7716336250	2.9602320194
0.6703833728	1.7345619202	2.9769585133
0.6704412561	1.7127494812	2.9868307114
0.6704991262	1.6796573400	3.0018515587
0.6705569974	1.6264079809	3.0261323452
0.6706148872	1.6095364094	3.0338540077
0.6706727254	1.6073575020	3.0348522663
0.6707306270	1.6244676113	3.0270197392
0.6707884847	1.6198614836	3.0291268826
0.6708463570	1.6103781462	3.0334684849
0.6709042256	1.5634038448	3.0550379753
0.6709621039	1.6180844307	3.0299401283
0.6710199669	1.6344342232	3.0224637985
0.6710778221	1.6040486097	3.0363686085
0.6711356982	1.6423543692	3.0188467503
0.6711935673	1.6224670410	3.0279347897
0.6712514461	1.9533743858	2.8791720867
0.6713093186	3.2295675278	2.3517224789
0.6713671804	3.2541835308	2.3422307968
