Titrant Volume (ml)	pH	F1
0.000000	7.064089	0.000000
0.700000	6.189304	0.000001
1.400000	5.014859	0.000010
1.500000	4.659969	0.000023
1.600000	4.047437	0.000093
1.700000	3.640273	0.000239
1.800000	3.434681	0.000385
